subdistrict_code,subdistrict_name,district_code,latitude,longitude,timezone
2006,Sukamanah,06,-6.44324103,107.06591981,Asia/Jakarta
2007,Weninggalih,06,-6.46161874,107.10020674,Asia/Jakarta
2008,Cibodas,06,-6.50890343,107.01213674,Asia/Jakarta
2009,Jonggol,06,-6.46440748,107.07309307,Asia/Jakarta
2010,Bendungan,06,-6.49246278,107.08639962,Asia/Jakarta
2011,Singasari,06,-6.47370587,107.01648166,Asia/Jakarta
2012,Balekambang,06,-6.51179318,107.08620799,Asia/Jakarta
2013,Sukajaya,06,-6.5503772,107.01335299,Asia/Jakarta
2014,Sukagalih,06,-6.48274788,107.10871775,Asia/Jakarta
2001,Pasirangin,07,-6.37817502,106.98307199,Asia/Jakarta
2002,Mekarsari,07,-6.40584349,106.99607692,Asia/Jakarta
2003,Mampir,07,-6.43047691,106.99615686,Asia/Jakarta
2004,Dayeuh,07,-6.4305539,106.96765965,Asia/Jakarta
2005,Gandoang,07,-6.41316532,107.01449222,Asia/Jakarta
2006,Jatisari,07,-6.4127117,107.05056615,Asia/Jakarta
2007,Cileungsi Kidul,07,-6.41070827,106.96938486,Asia/Jakarta
2008,Cipeucang,07,-6.42368512,107.04033882,Asia/Jakarta
2009,Situsari,07,-6.43161228,107.02288801,Asia/Jakarta
2010,Cipenjo,07,-6.39001696,106.99249472,Asia/Jakarta
2011,Limusnunggal,07,-6.37500641,106.96920075,Asia/Jakarta
2012,Cileungsi,07,-6.39969469,106.96245364,Asia/Jakarta
2001,Karyamekar,08,-6.5476738,107.10440291,Asia/Jakarta
2002,Babakanraden,08,-6.48359956,107.14090327,Asia/Jakarta
2003,Cikutamahi,08,-6.54586108,107.16936114,Asia/Jakarta
2004,Kutamekar,08,-6.51157026,107.15224995,Asia/Jakarta
2005,Cariu,08,-6.51017397,107.12805265,Asia/Jakarta
2006,Mekarwangi,08,-6.52522404,107.10816557,Asia/Jakarta
2007,Bantarkuning,08,-6.56164732,107.14713472,Asia/Jakarta
2008,Sukajadi,08,-6.49026317,107.15972177,Asia/Jakarta
2009,Tegalpanjang,08,-6.49223203,107.11653809,Asia/Jakarta
2010,Cibatutiga,08,-6.54169036,107.14244921,Asia/Jakarta
2001,Wargajaya,09,-6.62566562,107.01338864,Asia/Jakarta
2002,Pabuaran,09,-6.54685482,106.96027639,Asia/Jakarta
2003,Sukadamai,09,-6.55361201,107.06192158,Asia/Jakarta
2004,Sukawangi,09,-6.65112714,107.04180546,Asia/Jakarta
2005,Cibadak,09,-6.58190072,106.96021729,Asia/Jakarta
2006,Sukaresmi,09,-6.53485425,107.05130728,Asia/Jakarta
2007,Sukamulya,09,-6.59108284,106.99721755,Asia/Jakarta
2008,Sukaharja,09,-6.60364493,107.05494774,Asia/Jakarta
2009,Sirnajaya,09,-6.61866859,106.99750674,Asia/Jakarta
2010,Sukamakmur,09,-6.57272795,106.98568358,Asia/Jakarta
2003,Pengasinan,11,-6.36920351,106.69055657,Asia/Jakarta
2004,Curug,11,-6.39599099,106.71999475,Asia/Jakarta
2005,Gunungsindur,11,-6.3845511,106.66956699,Asia/Jakarta
2006,Jampang,11,-6.39882337,106.65506348,Asia/Jakarta
2007,Cibadung,11,-6.40357642,106.67794727,Asia/Jakarta
2008,Cibinong,11,-6.39473666,106.69071316,Asia/Jakarta
2009,Rawakalong,11,-6.37022809,106.71030308,Asia/Jakarta
2010,Pabuaran,11,-6.369313,106.66833354,Asia/Jakarta
2001,Bojong,12,-6.52740092,106.75226736,Asia/Jakarta
2002,Parakanjaya,12,-6.52105906,106.7623587,Asia/Jakarta
2003,Kemang,12,-6.50784485,106.74859078,Asia/Jakarta
2004,Pabuaran,12,-6.5038798,106.72536198,Asia/Jakarta
2005,Semplak Barat,12,-6.54357567,106.74859961,Asia/Jakarta
1006,Atang Senjaya,12,-6.54072088,106.75868298,Asia/Jakarta
2007,Jampang,12,-6.47476383,106.7265667,Asia/Jakarta
2008,Pondok Udik,12,-6.49100708,106.7371198,Asia/Jakarta
2009,Tegal,12,-6.48363639,106.70952952,Asia/Jakarta
2001,Bojongbaru,13,-6.47684967,106.8095821,Asia/Jakarta
2002,Cimanggis,13,-6.50386031,106.77632005,Asia/Jakarta
2003,Susukan,13,-6.46933491,106.790188,Asia/Jakarta
2004,Ragajaya,13,-6.44550906,106.78223909,Asia/Jakarta
2005,Kedungwaringin,13,-6.49649418,106.79384394,Asia/Jakarta
2006,Waringinjaya,13,-6.5085381,106.79111425,Asia/Jakarta
