"forecast_id","subdistrict_id","utc_datetime","local_datetime","time_index","analysis_date","weather_condition_id","wind_direction_degrees","wind_direction","wind_direction_to","wind_speed","temperature","cloud_cover_percentage","precipitation_probability","humidity","visibility_meters","visibility_text","created_at","updated_at"
71,4,2025-07-21 16:00:00.000,2025-07-21 23:00:00.000,"63-64",2025-07-19 00:00:00.000,1,185,S,N,3.50,25.00,49,0.00,78,9003,< 10 km,2025-07-19 07:02:41.248,2025-07-19 07:02:41.248
74,4,2025-07-19 10:00:00.000,2025-07-19 17:00:00.000,"9-10",2025-07-19 00:00:00.000,3,22,N,S,4.60,28.00,100,0.00,70,8986,< 9 km,2025-07-19 07:03:57.693,2025-07-19 07:03:57.693
76,4,2025-07-19 19:00:00.000,2025-07-20 02:00:00.000,"18-19",2025-07-19 00:00:00.000,3,188,S,N,5.00,23.00,99,0.00,85,8988,< 9 km,2025-07-19 07:05:27.986,2025-07-19 07:05:27.986
78,4,2025-07-20 13:00:00.000,2025-07-20 20:00:00.000,"36-37",2025-07-19 00:00:00.000,1,183,S,N,4.50,26.00,55,0.20,79,8988,< 9 km,2025-07-19 07:06:00.796,2025-07-19 07:06:00.796
79,4,2025-07-20 19:00:00.000,2025-07-21 02:00:00.000,"42-43",2025-07-19 00:00:00.000,1,180,S,N,1.90,25.00,38,0.00,79,8994,< 9 km,2025-07-19 07:06:38.287,2025-07-19 07:06:38.287
82,5,2025-07-19 19:00:00.000,2025-07-20 02:00:00.000,"18-19",2025-07-19 00:00:00.000,3,188,S,N,5.00,23.00,99,0.00,85,8988,< 9 km,2025-07-19 07:07:13.620,2025-07-19 07:07:13.620
83,5,2025-07-19 22:00:00.000,2025-07-20 05:00:00.000,"21-22",2025-07-19 00:00:00.000,1,184,S,N,6.60,23.00,52,0.00,85,8997,< 9 km,2025-07-19 07:07:50.450,2025-07-19 07:07:50.450
85,5,2025-07-20 04:00:00.000,2025-07-20 11:00:00.000,"27-28",2025-07-19 00:00:00.000,1,48,NE,SW,3.40,31.00,24,0.00,50,8990,< 9 km,2025-07-19 07:08:22.512,2025-07-19 07:08:22.512
86,5,2025-07-20 07:00:00.000,2025-07-20 14:00:00.000,"30-31",2025-07-19 00:00:00.000,1,182,S,N,6.30,33.00,29,0.00,39,9013,< 10 km,2025-07-19 07:08:24.009,2025-07-19 07:08:24.009
88,5,2025-07-20 13:00:00.000,2025-07-20 20:00:00.000,"36-37",2025-07-19 00:00:00.000,1,183,S,N,4.50,26.00,55,0.20,79,8988,< 9 km,2025-07-19 07:09:14.585,2025-07-19 07:09:14.585
89,5,2025-07-20 16:00:00.000,2025-07-20 23:00:00.000,"39-40",2025-07-19 00:00:00.000,1,201,S,N,5.90,25.00,54,0.00,79,9000,< 10 km,2025-07-19 07:09:45.427,2025-07-19 07:09:45.427
91,5,2025-07-20 22:00:00.000,2025-07-21 05:00:00.000,"45-46",2025-07-19 00:00:00.000,1,98,E,W,3.70,25.00,20,0.00,78,9007,< 10 km,2025-07-19 07:10:24.361,2025-07-19 07:10:24.361
94,5,2025-07-21 07:00:00.000,2025-07-21 14:00:00.000,"54-55",2025-07-19 00:00:00.000,2,75,NE,SW,4.20,33.00,66,0.00,42,8985,< 9 km,2025-07-19 07:10:55.891,2025-07-19 07:10:55.891
95,5,2025-07-21 10:00:00.000,2025-07-21 17:00:00.000,"57-58",2025-07-19 00:00:00.000,1,24,N,S,2.90,28.00,37,0.00,63,9009,< 10 km,2025-07-19 07:11:26.717,2025-07-19 07:11:26.717
97,5,2025-07-21 16:00:00.000,2025-07-21 23:00:00.000,"63-64",2025-07-19 00:00:00.000,1,185,S,N,3.50,25.00,49,0.00,78,9003,< 10 km,2025-07-19 07:12:25.239,2025-07-19 07:12:25.239
100,5,2025-07-19 10:00:00.000,2025-07-19 17:00:00.000,"9-10",2025-07-19 00:00:00.000,3,22,N,S,4.60,28.00,100,0.00,70,8986,< 9 km,2025-07-19 07:14:01.100,2025-07-19 07:14:01.100
102,6,2025-07-19 07:00:00.000,2025-07-19 14:00:00.000,"6-7",2025-07-19 00:00:00.000,1,106,E,W,8.50,32.00,46,0.00,47,8996,< 9 km,2025-07-19 07:14:34.389,2025-07-19 07:14:34.389
104,6,2025-07-19 13:00:00.000,2025-07-19 20:00:00.000,"12-13",2025-07-19 00:00:00.000,3,172,SE,NW,2.30,26.00,100,0.10,83,8998,< 9 km,2025-07-19 07:15:34.869,2025-07-19 07:15:34.869
106,6,2025-07-19 19:00:00.000,2025-07-20 02:00:00.000,"18-19",2025-07-19 00:00:00.000,3,181,S,N,2.90,23.00,100,0.00,85,8988,< 9 km,2025-07-19 07:16:46.427,2025-07-19 07:16:46.427
107,6,2025-07-20 01:00:00.000,2025-07-20 08:00:00.000,"24-25",2025-07-19 00:00:00.000,3,347,NW,SE,3.00,28.00,92,0.00,65,9006,< 10 km,2025-07-19 07:17:18.596,2025-07-19 07:17:18.596
1224,3,2025-07-21 05:00:00.000,2025-07-21 12:00:00.000,"52-53",2025-07-19 00:00:00.000,1,75,NE,SW,4.20,33.00,19,0.00,43,8985,< 9 km,2025-07-19 13:56:24.268,2025-07-19 13:56:24.268
